TimeStamp;OrderId;OrderStatus;VehicleId;
6310;368353;UNASSIGNED;-1;
6311;368353;ASSIGNED;2;
6389;318891;UNASSIGNED;-1;
6390;318891;ASSIGNED;1;
6430;344746;UNASSIGNED;-1;
6431;344746;ASSIGNED;3;
6451;3658;UNASSIGNED;-1;
6452;3658;ASSIGNED;38;
6533;83782;UNASSIGNED;-1;
6534;83782;ASSIGNED;2;
6540;483202;UNASSIGNED;-1;
6541;483202;ASSIGNED;24;
6652;886080;IN_PROGRESS;49;
6652;169343;IN_PROGRESS;49;
6652;216827;IN_PROGRESS;49;
6652;415364;IN_PROGRESS;49;
6653;30412;IN_PROGRESS;19;
6653;433375;IN_PROGRESS;19;
6653;856205;IN_PROGRESS;19;
6653;452312;IN_PROGRESS;19;
6663;368353;IN_PROGRESS;2;
6800;398736;UNASSIGNED;-1;
6801;398736;ASSIGNED;1;
6811;929601;UNASSIGNED;-1;
6812;929601;ASSIGNED;7;
6867;895954;IN_PROGRESS;31;
6891;567259;IN_PROGRESS;27;
6891;420556;DELIVERED;27;
6891;520252;UNASSIGNED;-1;
6892;520252;ASSIGNED;32;
6947;996450;UNASSIGNED;-1;
6948;996450;ASSIGNED;20;
6993;318891;IN_PROGRESS;1;
7052;256988;UNASSIGNED;-1;
7053;256988;ASSIGNED;1;
7110;618557;UNASSIGNED;-1;
7111;618557;ASSIGNED;8;
7173;483202;IN_PROGRESS;24;
7205;716866;DELIVERED;27;
7205;567259;DELIVERED;27;
7210;446541;UNASSIGNED;-1;
7211;446541;ASSIGNED;16;
7210;341379;UNASSIGNED;-1;
7211;341379;ASSIGNED;27;
7244;513793;IN_PROGRESS;36;
7252;338811;IN_PROGRESS;41;
7349;912629;UNASSIGNED;-1;
7350;912629;ASSIGNED;29;
7441;618557;IN_PROGRESS;8;
7464;129127;UNASSIGNED;-1;
7465;129127;ASSIGNED;41;
7544;3658;IN_PROGRESS;38;
7609;793236;IN_PROGRESS;42;
7609;357934;DELIVERED;42;
7651;930447;UNASSIGNED;-1;
7652;930447;ASSIGNED;49;
7698;830128;IN_PROGRESS;27;
7730;113906;UNASSIGNED;-1;
7731;113906;ASSIGNED;31;
7765;433375;DELIVERED;19;
7858;473014;DELIVERED;34;
7870;108143;UNASSIGNED;-1;
7871;108143;ASSIGNED;11;
7887;433848;DELIVERED;4;
7952;912629;IN_PROGRESS;29;
7957;36851;DELIVERED;32;
7981;344746;IN_PROGRESS;3;
8078;957947;IN_PROGRESS;19;
8090;496550;UNASSIGNED;-1;
8091;496550;ASSIGNED;24;
8267;398736;IN_PROGRESS;1;
8320;83782;IN_PROGRESS;2;
8345;46465;UNASSIGNED;-1;
8346;46465;ASSIGNED;11;
8450;441902;IN_PROGRESS;14;
8450;521963;IN_PROGRESS;14;
8450;408416;IN_PROGRESS;14;
8450;685883;IN_PROGRESS;14;
8453;520252;IN_PROGRESS;32;
8453;478854;DELIVERED;32;
8490;61112;IN_PROGRESS;21;
8490;395454;IN_PROGRESS;21;
8490;501299;IN_PROGRESS;21;
8490;404209;IN_PROGRESS;21;
8491;691228;UNASSIGNED;-1;
8492;691228;ASSIGNED;47;
8507;856202;IN_PROGRESS;44;
8507;224852;IN_PROGRESS;44;
8507;642546;IN_PROGRESS;44;
8507;527273;IN_PROGRESS;44;
8525;24628;UNASSIGNED;-1;
8526;24628;ASSIGNED;34;
8530;896814;IN_PROGRESS;35;
8530;802858;IN_PROGRESS;35;
8530;497363;IN_PROGRESS;35;
8530;456236;IN_PROGRESS;35;
8585;552878;IN_PROGRESS;10;
8721;3658;DELIVERED;38;
8746;108143;IN_PROGRESS;11;
8851;26704;UNASSIGNED;-1;
8852;26704;ASSIGNED;15;
8858;781501;DELIVERED;4;
8913;256988;IN_PROGRESS;1;
8964;496550;IN_PROGRESS;24;
9029;886080;DELIVERED;49;
9033;657100;IN_PROGRESS;38;
9047;876800;UNASSIGNED;-1;
9048;876800;ASSIGNED;8;
9185;837547;UNASSIGNED;-1;
9186;837547;ASSIGNED;31;
9235;446541;IN_PROGRESS;16;
9235;57497;DELIVERED;16;
9245;26704;IN_PROGRESS;15;
9535;957947;DELIVERED;19;
9607;876800;IN_PROGRESS;8;
9657;513793;DELIVERED;36;
9700;538926;DELIVERED;27;
9700;830128;DELIVERED;27;
9839;113906;IN_PROGRESS;31;
9881;46465;IN_PROGRESS;11;
9890;912629;DELIVERED;29;
9939;338811;DELIVERED;41;
